,Fragile States Index 2014,Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Status,Population (millions),Neighbors with Equal or Lesser Stability
134,Bahamas,54,2,3,4,5,5,5,5,5,3,4,4,4,Stable,0,164
135,Oman,53,8,2,3,2,4,5,6,4,7,5,7,2,Stable,4,164
136,Croatia,53,2,5,6,5,4,5,4,3,4,4,4,5,Stable,4,164
137,Greece,52,10,2,5,4,4,6,6,4,4,4,3,6,Stable,11,164
138,Barbados,51,4,3,4,6,5,6,3,3,3,4,4,5,Stable,0,164
139,Qatar,49,4,2,5,3,5,3,6,2,6,3,5,4,Stable,2,164
140,Costa Rica,48,1,4,4,3,6,5,3,5,2,3,4,5,Stable,5,164
141,Hungary,48,1,3,4,4,5,6,6,3,4,3,5,4,Stable,10,164
142,Latvia,48,2,3,6,4,5,4,4,4,3,3,4,3,Stable,2,164
143,United Arab Emirates,48,9,2,4,3,4,3,7,3,6,3,4,3,Stable,9,164
144,Argentina,47,8,2,5,3,6,4,4,4,4,3,3,4,Stable,43,164
145,Mauritius,46,7,2,3,4,5,4,4,4,4,3,3,5,Stable,1,164
146,Slovakia,45,9,2,6,4,4,5,4,3,3,3,4,4,Stable,5,164
147,Estonia,45,2,3,6,4,4,4,3,3,2,3,5,3,Stable,1,164
148,Italy,43,8,3,5,2,3,5,4,3,3,5,5,2,Stable,61,164
149,Lithuania,43,7,3,4,4,5,5,3,4,3,3,3,3,Stable,3,164
150,Spain,43,5,2,6,3,4,5,3,3,2,4,6,2,Stable,47,164
151,Malta,43,7,5,4,4,3,4,4,3,4,4,2,4,Stable,0,164
152,Poland,42,7,3,4,5,4,4,3,3,3,3,4,3,Stable,39,164
153,Chile,42,2,3,4,3,5,4,3,4,4,3,2,3,Stable,18,164
154,Czech Republic,39,2,2,4,3,3,5,4,3,2,2,4,3,Stable,11,164
155,Uruguay,38,10,2,3,4,4,3,2,4,2,3,3,3,Stable,3,164
156,South Korea,36,7,2,3,4,3,2,3,2,3,2,4,6,Stable,50,164
157,Japan,36,1,3,4,2,2,4,2,2,3,2,3,4,Stable,127,164
158,Singapore,36,4,1,3,4,4,3,3,2,5,2,4,2,Stable,6,164
159,United States,35,5,2,4,1,4,3,2,2,3,3,4,1,Stable,318,164
